,index,Temperature Anomalies,year,month
244,244,0.32,1999,5
245,245,0.41,1999,6
246,246,0.38,1999,7
247,247,0.38,1999,8
248,248,0.42,1999,9
249,249,0.34,1999,10
250,250,0.36,1999,11
251,251,0.46,1999,12
252,252,0.31,2000,1
253,253,0.55,2000,2
254,254,0.53,2000,3
255,255,0.59,2000,4
256,256,0.36,2000,5
257,257,0.38,2000,6
258,258,0.4,2000,7
259,259,0.44,2000,8
260,260,0.44,2000,9
261,261,0.31,2000,10
262,262,0.3,2000,11
263,263,0.3,2000,12
264,264,0.45,2001,1
265,265,0.43,2001,2
266,266,0.55,2001,3
267,267,0.53,2001,4
268,268,0.57,2001,5
269,269,0.53,2001,6
270,270,0.62,2001,7
271,271,0.54,2001,8
272,272,0.55,2001,9
273,273,0.49,2001,10
274,274,0.68,2001,11
275,275,0.62,2001,12
276,276,0.68,2002,1
277,277,0.68,2002,2
278,278,0.83,2002,3
279,279,0.56,2002,4
280,280,0.65,2002,5
281,281,0.58,2002,6
282,282,0.64,2002,7
283,283,0.56,2002,8
284,284,0.61,2002,9
285,285,0.57,2002,10
286,286,0.57,2002,11
287,287,0.51,2002,12
288,288,0.72,2003,1
289,289,0.62,2003,2
290,290,0.59,2003,3
291,291,0.57,2003,4
292,292,0.6,2003,5
293,293,0.49,2003,6
294,294,0.57,2003,7
295,295,0.64,2003,8
296,296,0.68,2003,9
297,297,0.74,2003,10
298,298,0.56,2003,11
299,299,0.74,2003,12
300,300,0.62,2004,1
301,301,0.71,2004,2
302,302,0.67,2004,3
303,303,0.61,2004,4
304,304,0.39,2004,5
305,305,0.44,2004,6
306,306,0.36,2004,7
307,307,0.49,2004,8
308,308,0.55,2004,9
309,309,0.62,2004,10
310,310,0.7,2004,11
311,311,0.53,2004,12
312,312,0.76,2005,1
313,313,0.63,2005,2
314,314,0.75,2005,3
315,315,0.69,2005,4
316,316,0.66,2005,5
317,317,0.67,2005,6
318,318,0.64,2005,7
319,319,0.6,2005,8
320,320,0.7,2005,9
321,321,0.73,2005,10
322,322,0.77,2005,11
323,323,0.72,2005,12
324,324,0.6,2006,1
325,325,0.76,2006,2
326,326,0.66,2006,3
327,327,0.55,2006,4
328,328,0.55,2006,5
329,329,0.64,2006,6
330,330,0.56,2006,7
331,331,0.71,2006,8
332,332,0.67,2006,9
333,333,0.68,2006,10
334,334,0.68,2006,11
335,335,0.78,2006,12
336,336,0.92,2007,1
337,337,0.71,2007,2
338,338,0.68,2007,3
339,339,0.78,2007,4
340,340,0.64,2007,5
341,341,0.59,2007,6
342,342,0.59,2007,7
343,343,0.57,2007,8
344,344,0.6,2007,9
345,345,0.6,2007,10
346,346,0.57,2007,11
347,347,0.48,2007,12
348,348,0.28,2008,1
349,349,0.32,2008,2
350,350,0.7,2008,3
351,351,0.52,2008,4
352,352,0.51,2008,5
353,353,0.48,2008,6
354,354,0.59,2008,7
355,355,0.53,2008,8
356,356,0.61,2008,9
357,357,0.68,2008,10
358,358,0.7,2008,11
359,359,0.59,2008,12
360,360,0.67,2009,1
361,361,0.54,2009,2
362,362,0.53,2009,3
363,363,0.58,2009,4
364,364,0.62,2009,5
365,365,0.67,2009,6
366,366,0.74,2009,7
367,367,0.71,2009,8
368,368,0.76,2009,9
369,369,0.69,2009,10
370,370,0.76,2009,11
371,371,0.72,2009,12
372,372,0.77,2010,1
373,373,0.84,2010,2
374,374,0.89,2010,3
375,375,0.88,2010,4
376,376,0.78,2010,5
377,377,0.7,2010,6
378,378,0.67,2010,7
379,379,0.65,2010,8
380,380,0.65,2010,9
381,381,0.68,2010,10
382,382,0.77,2010,11
383,383,0.51,2010,12
384,384,0.56,2011,1
385,385,0.51,2011,2
386,386,0.65,2011,3
387,387,0.66,2011,4
388,388,0.55,2011,5
389,389,0.62,2011,6
390,390,0.7,2011,7
391,391,0.7,2011,8
392,392,0.62,2011,9
393,393,0.66,2011,10
394,394,0.55,2011,11
395,395,0.59,2011,12
396,396,0.51,2012,1
397,397,0.52,2012,2
398,398,0.53,2012,3
399,399,0.72,2012,4
400,400,0.75,2012,5
401,401,0.7,2012,6
402,402,0.63,2012,7
403,403,0.67,2012,8
404,404,0.74,2012,9
405,405,0.78,2012,10
406,406,0.75,2012,11
407,407,0.53,2012,12
408,408,0.68,2013,1
409,409,0.6,2013,2
410,410,0.66,2013,3
411,411,0.6,2013,4
412,412,0.66,2013,5
413,413,0.7,2013,6
414,414,0.62,2013,7
415,415,0.69,2013,8
416,416,0.76,2013,9
417,417,0.68,2013,10
418,418,0.79,2013,11
419,419,0.7,2013,12
420,420,0.75,2014,1
421,421,0.59,2014,2
422,422,0.79,2014,3
423,423,0.79,2014,4
424,424,0.83,2014,5
425,425,0.72,2014,6
426,426,0.65,2014,7
427,427,0.82,2014,8
428,428,0.84,2014,9
429,429,0.78,2014,10
430,430,0.67,2014,11
431,431,0.8,2014,12
432,432,0.83,2015,1
433,433,0.87,2015,2
434,434,0.93,2015,3
435,435,0.81,2015,4
436,436,0.82,2015,5
437,437,0.86,2015,6
438,438,0.79,2015,7
439,439,0.84,2015,8
440,440,0.93,2015,9
441,441,1.07,2015,10
442,442,1.04,2015,11
443,443,1.12,2015,12
444,444,1.21,2016,1
445,445,1.34,2016,2
446,446,1.33,2016,3
447,447,1.14,2016,4
448,448,0.96,2016,5
449,449,0.84,2016,6
450,450,0.87,2016,7
451,451,1.0,2016,8
452,452,0.95,2016,9
453,453,0.87,2016,10
